Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol
19-06-2025 17.43,192.168.0.105,55409,192.168.0.1,53,UDP
19-06-2025 17.43,192.168.0.1,53,192.168.0.105,64507,UDP
19-06-2025 17.43,192.168.0.1,53,192.168.0.105,55409,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,51829,142.251.43.10,443,UDP
19-06-2025 17.43,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.43,142.251.43.10,443,192.168.0.105,51829,UDP
19-06-2025 17.43,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.43,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.43,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.43,142.251.220.14,443,192.168.0.105,55080,UDP
